id,name,category,brand,rating,review_count
79,HP Pavilion 20,PC,Apple,4.0,216
80,iPad 8,Tablet,Samsung,4.4,420
81,HP Spectre Pro,Laptop,Lenovo,2.4,55
82,Asus ROG 25,PC,Dell,1.9,479
83,Huawei MatePad 8,Tablet,Lenovo,1.2,187
84,Asus ROG 21,PC,Samsung,3.2,471
85,Asus ROG 22,PC,Dell,3.8,455
86,Samsung Galaxy 77 Max,Điện thoại,Samsung,2.7,352
87,Dell Inspiron 27,PC,Apple,3.8,382
88,HP Spectre 2024,Laptop,Samsung,2.0,297
89,HP Pavilion 25,PC,Dell,2.4,363
90,HP Spectre Ultra,Laptop,HP,2.1,12
91,iPhone 22 Pro,Điện thoại,Apple,3.0,418
92,Lenovo ThinkPad Pro,Laptop,Asus,2.2,444
93,Samsung Galaxy 42 Ultra,Điện thoại,Dell,4.5,111
94,Lenovo IdeaPad 16,PC,Asus,4.7,160
95,Asus ZenBook 2023,Laptop,Dell,1.9,97
96,iPad 7,Tablet,Samsung,2.6,497
97,Lenovo IdeaPad 25,PC,Asus,3.7,57
98,Xiaomi Mi 58 Ultra,Điện thoại,Asus,1.9,457
99,Dell Inspiron 23,PC,Dell,3.2,353
100,iPhone 82 Ultra,Điện thoại,Apple,3.4,468
