id,name,category,brand,rating,review_count,cluster,quality
66,Samsung Galaxy Tab 11,Tablet,Asus,1.5,281,0,Kém
67,MacBook 2024,Laptop,Dell,2.1,300,0,Kém
68,Samsung Galaxy Tab 11,Tablet,Dell,3.3,45,1,Trung bình
69,Microsoft Surface 7,Tablet,Samsung,2.9,32,1,Kém
70,MacBook 2023,Laptop,Asus,3.9,191,1,Trung bình
71,Samsung Galaxy Tab 10,Tablet,Apple,3.3,302,0,Trung bình
72,Vivo X 82 Ultra,Điện thoại,HP,1.1,202,1,Kém
73,HP Pavilion 19,PC,Asus,2.3,209,1,Kém
74,Oppo Reno 64 Lite,Điện thoại,Dell,3.1,55,1,Trung bình
75,Dell Inspiron 29,PC,Apple,1.4,393,0,Kém
76,iPhone 24 Lite,Điện thoại,Lenovo,1.3,148,1,Kém
77,Lenovo ThinkPad 2024,Laptop,Dell,4.5,267,0,Tốt
78,Oppo Reno 72 Lite,Điện thoại,Asus,4.2,120,1,Tốt
79,Asus ROG 18,PC,Apple,1.9,18,1,Kém
80,HP Spectre 2023,Laptop,Dell,3.8,453,0,Trung bình
81,Dell Inspiron 18,PC,Lenovo,3.8,147,1,Trung bình
82,Dell Inspiron 16,PC,Lenovo,1.7,459,0,Kém
83,Dell Inspiron 26,PC,Lenovo,2.9,138,1,Kém
84,Lenovo IdeaPad 24,PC,Samsung,3.8,497,0,Trung bình
85,Asus ROG 19,PC,HP,2.6,321,0,Kém
86,Samsung Galaxy 54 Pro,Điện thoại,HP,3.6,142,1,Trung bình
87,Dell Inspiron 18,PC,Dell,2.4,265,0,Kém
88,iPad 7,Tablet,Samsung,3.1,272,0,Trung bình
89,Dell XPS 2024,Laptop,Lenovo,2.9,292,0,Kém
90,Samsung Galaxy Tab 8,Tablet,HP,1.5,316,0,Kém
91,Asus ZenBook Ultra,Laptop,Lenovo,4.8,5,1,Tốt
92,Vivo X 94 Ultra,Điện thoại,Apple,2.9,223,1,Kém
93,Samsung Galaxy Tab 8,Tablet,Apple,2.3,249,0,Kém
94,Lenovo IdeaPad 28,PC,Apple,2.4,345,0,Kém
95,Asus ROG 18,PC,Dell,1.5,395,0,Kém
96,HP Pavilion 28,PC,Lenovo,2.8,496,0,Kém
97,Samsung Galaxy 68 Ultra,Điện thoại,Apple,1.2,379,0,Kém
98,Samsung Galaxy Tab 9,Tablet,HP,1.9,19,1,Kém
99,iPhone 67 Max,Điện thoại,Asus,1.4,355,0,Kém
100,Microsoft Surface 8,Tablet,Samsung,3.4,396,0,Trung bình
